Kennziffer;RS;Raumeinheit;Aggregat;Siedlung;Stadt_Land;Raumordnung;dutch
04012;4012;Bremerhaven, Stadt;krsfr. Stadt;1,0;1,0;303,0;8
05111;5111;Düsseldorf, Stadt;krsfr. Stadt;1,0;1,0;508,0;8
05112;5112;Duisburg, Stadt;krsfr. Stadt;1,0;1,0;507,0;6
05113;5113;Essen, Stadt;krsfr. Stadt;1,0;1,0;507,0;6
05114;5114;Krefeld, Stadt;krsfr. Stadt;1,0;1,0;508,0;8
05116;5116;Mönchengladbach, Stadt;krsfr. Stadt;1,0;1,0;508,0;8
05117;5117;Mülheim an der Ruhr, Stadt;krsfr. Stadt;1,0;1,0;507,0;6
05119;5119;Oberhausen, Stadt;krsfr. Stadt;1,0;1,0;507,0;6
05120;5120;Remscheid, Stadt;krsfr. Stadt;1,0;1,0;508,0;8
05122;5122;Solingen, Stadt;krsfr. Stadt;1,0;1,0;508,0;8
05124;5124;Wuppertal, Stadt;krsfr. Stadt;1,0;1,0;508,0;8
05154;5154;Kleve;Landkreis;2,0;1,0;507,0;5
05158;5158;Mettmann;Landkreis;2,0;1,0;508,0;6
05162;5162;Rhein-Kreis Neuss;Landkreis;2,0;1,0;508,0;5
05166;5166;Viersen;Landkreis;2,0;1,0;508,0;5
05170;5170;Wesel;Landkreis;2,0;1,0;507,0;5
05314;5314;Bonn, Stadt;krsfr. Stadt;1,0;1,0;505,0;10
05315;5315;Köln, Stadt;krsfr. Stadt;1,0;1,0;510,0;8
05316;5316;Leverkusen, Stadt;krsfr. Stadt;1,0;1,0;510,0;8
05334;5334;Städteregion Aachen;Landkreis;2,0;1,0;501,0;6
05358;5358;Düren;Landkreis;2,0;1,0;501,0;6
05362;5362;Rhein-Erft-Kreis;Landkreis;2,0;1,0;510,0;5
05366;5366;Euskirchen;Landkreis;2,0;1,0;501,0;3
05370;5370;Heinsberg;Landkreis;2,0;1,0;501,0;5
05374;5374;Oberbergischer Kreis;Landkreis;2,0;1,0;510,0;6
05378;5378;Rheinisch-Bergischer Kreis;Landkreis;2,0;1,0;510,0;5
05382;5382;Rhein-Sieg-Kreis;Landkreis;2,0;1,0;505,0;5
05512;5512;Bottrop, Stadt;krsfr. Stadt;1,0;1,0;509,0;6
05513;5513;Gelsenkirchen, Stadt;krsfr. Stadt;1,0;1,0;509,0;6
05515;5515;Münster, Stadt;krsfr. Stadt;1,0;1,0;511,0;8
05554;5554;Borken;Landkreis;2,0;1,0;511,0;5
05558;5558;Coesfeld;Landkreis;2,0;1,0;511,0;5
05562;5562;Recklinghausen;Landkreis;2,0;1,0;509,0;6
05566;5566;Steinfurt;Landkreis;2,0;1,0;511,0;5
05570;5570;Warendorf;Landkreis;2,0;1,0;511,0;5
05711;5711;Bielefeld, Stadt;krsfr. Stadt;1,0;1,0;503,0;8
05754;5754;Gütersloh;Landkreis;2,0;1,0;503,0;5
05758;5758;Herford;Landkreis;2,0;1,0;503,0;5
05762;5762;Höxter;Landkreis;3,0;2,0;512,0;3
05766;5766;Lippe;Landkreis;2,0;1,0;503,0;5
05770;5770;Minden-Lübbecke;Landkreis;2,0;1,0;503,0;6
05774;5774;Paderborn;Landkreis;2,0;1,0;512,0;5
05911;5911;Bochum, Stadt;krsfr. Stadt;1,0;1,0;504,0;6
05913;5913;Dortmund, Stadt;krsfr. Stadt;1,0;1,0;506,0;6
05914;5914;Hagen, Stadt;krsfr. Stadt;1,0;1,0;504,0;6
05915;5915;Hamm, Stadt;krsfr. Stadt;1,0;1,0;506,0;6
05916;5916;Herne, Stadt;krsfr. Stadt;1,0;1,0;504,0;6
05954;5954;Ennepe-Ruhr-Kreis;Landkreis;2,0;1,0;504,0;6
05958;5958;Hochsauerlandkreis;Landkreis;3,0;2,0;502,0;3
05962;5962;Märkischer Kreis;Landkreis;2,0;1,0;504,0;6
